condition,split
EDC4+ctrl,val
OSTC+ctrl,val
RABGGTA+ctrl,val
TTC1+ctrl,val
NUP107+ctrl,val
UBE3D+ctrl,val
BRF2+ctrl,val
EIF2S3+ctrl,val
CENPN+ctrl,val
EIF5A+ctrl,val
SNRPA+ctrl,val
CSDE1+ctrl,val
TBX1+ctrl,val
RPL26+ctrl,val
CIAPIN1+ctrl,val
FASN+ctrl,val
EIF4H+ctrl,val
ADAM10+ctrl,val
PLRG1+ctrl,val
RAD17+ctrl,val
PSMA6+ctrl,val
RPS27A+ctrl,val
FARSB+ctrl,val
POLR3C+ctrl,val
PDHA1+ctrl,val
MRPL34+ctrl,val
NUP85+ctrl,val
TSEN54+ctrl,val
SMC3+ctrl,val
NOB1+ctrl,val
MASTL+ctrl,val
DSN1+ctrl,val
MED22+ctrl,val
PRPF38A+ctrl,val
ZNF787+ctrl,val
INO80B+ctrl,val
SRSF10+ctrl,val
CLOCK+ctrl,val
CHMP6+ctrl,val
NOL8+ctrl,val
USP8+ctrl,val
PCNX3+ctrl,val
DOLK+ctrl,val
DDX55+ctrl,val
IPO11+ctrl,val
PRELID3B+ctrl,val
ELP5+ctrl,test
SDE2+ctrl,test
CCNQ+ctrl,test
PNKP+ctrl,test
KCMF1+ctrl,test
XRCC3+ctrl,test
INTS2+ctrl,test
HMX3+ctrl,test
SERF2+ctrl,test
ACTR8+ctrl,test
PRELID1+ctrl,test
MAD2L1+ctrl,test
HPS5+ctrl,test
PRIM2+ctrl,test
POLE+ctrl,test
DARS+ctrl,test
RBBP5+ctrl,test
TCERG1+ctrl,test
SLC35G2+ctrl,test
ATP6V1D+ctrl,test
TTK+ctrl,test
SH3KBP1+ctrl,test
CSTF3+ctrl,test
RPP14+ctrl,test
CNOT3+ctrl,test
SERPINB1+ctrl,test
PFDN2+ctrl,test
TMEM214+ctrl,test
RRN3+ctrl,test
UROD+ctrl,test
UQCRQ+ctrl,test
SNUPN+ctrl,test
COPS4+ctrl,test
HSPE1+ctrl,test
KAT7+ctrl,test
UBA52+ctrl,test
U2SURP+ctrl,test
HEXIM1+ctrl,test
WARS+ctrl,test
PPP6C+ctrl,test
PUF60+ctrl,test
HSPA9+ctrl,test
RPAP3+ctrl,test
TUBGCP4+ctrl,test
SYF2+ctrl,test
PPP1R15B+ctrl,test
BDP1+ctrl,test
TPT1+ctrl,test
PUM1+ctrl,test
NFRKB+ctrl,test
WDR25+ctrl,test
SRP9+ctrl,test
UTP23+ctrl,test
UBR5+ctrl,test
LAMTOR4+ctrl,test
COPS8+ctrl,test
RPS18+ctrl,test
DDX20+ctrl,test
KTI12+ctrl,test
GNL3+ctrl,test
GTF3C4+ctrl,test
GTF2H4+ctrl,test
CUL7+ctrl,test
TNRC6A+ctrl,test
SAMD4B+ctrl,test
POLR3H+ctrl,test
DDX47+ctrl,test
TRAPPC3+ctrl,test
CDC5L+ctrl,test
UBE2N+ctrl,test
DCTN2+ctrl,test
DCTN3+ctrl,test
TIMM22+ctrl,test
EMC7+ctrl,test
NAA20+ctrl,test
WDFY3+ctrl,test
EIF6+ctrl,test
INTS8+ctrl,test
FBRSL1+ctrl,test
YPEL5+ctrl,test
HSP90B1+ctrl,test
PPP4C+ctrl,test
WDR1+ctrl,test
TOMM22+ctrl,test
RPS3+ctrl,test
CDC42+ctrl,test
BUB1+ctrl,test
NUP98+ctrl,test
PRDM10+ctrl,test
NCAPH2+ctrl,test
BRK1+ctrl,test
WDR77+ctrl,test
CCNL1+ctrl,test
SLC35B1+ctrl,test
OGT+ctrl,test
NELFB+ctrl,test
SRRT+ctrl,test
ZNF207+ctrl,test
GABPA+ctrl,test
TADA2B+ctrl,test
ERH+ctrl,test
PSMC3+ctrl,test
CWF19L2+ctrl,test
INTS14+ctrl,test
SNRPA1+ctrl,test
THOC3+ctrl,test
TRAIP+ctrl,test
HNRNPC+ctrl,test
NUP62+ctrl,test
MIOS+ctrl,test
EXOSC3+ctrl,test
CHAF1B+ctrl,test
UBL5+ctrl,test
RPA3+ctrl,test
MPHOSPH10+ctrl,test
RPS3A+ctrl,test
SLU7+ctrl,test
YJEFN3+ctrl,test
TUBD1+ctrl,test
SRPRB+ctrl,test
NOMO1+ctrl,test
MBIP+ctrl,test
PTEN+ctrl,test
SMAGP+ctrl,test
MOB4+ctrl,test
LDB1+ctrl,test
ZNF143+ctrl,test
SNRNP200+ctrl,test
EIF2S1+ctrl,test
POLR2F+ctrl,test
ORC5+ctrl,test
THAP11+ctrl,test
RPS15+ctrl,test
PLK4+ctrl,test
ALG1+ctrl,test
RBM12+ctrl,test
ILF2+ctrl,test
CDCA5+ctrl,test
SEC63+ctrl,test
TAF6+ctrl,test
CRCP+ctrl,test
TRAPPC1+ctrl,test
NUDT15+ctrl,test
RPL4+ctrl,test
PIAS4+ctrl,test
DUT+ctrl,test
RNMT+ctrl,test
MFN2+ctrl,test
PRPF8+ctrl,test
THOC5+ctrl,test
TAF8+ctrl,test
PITRM1+ctrl,test
SMC6+ctrl,test
POLR2B+ctrl,test
SNAPC5+ctrl,test
HSPH1+ctrl,test
ZW10+ctrl,test
RPL36A+ctrl,test
NBAS+ctrl,test
UQCRFS1+ctrl,test
GTF2E2+ctrl,test
FAF2+ctrl,test
SP2+ctrl,test
MRPS33+ctrl,test
CEP192+ctrl,test
MED11+ctrl,test
DESI1+ctrl,test
KAT8+ctrl,test
UBR4+ctrl,test
TOMM20+ctrl,test
RAB4B+ctrl,test
COG2+ctrl,test
EFTUD2+ctrl,test
ZCRB1+ctrl,test
RBBP6+ctrl,test
EIF2S2+ctrl,test
TSPYL5+ctrl,test
DDX27+ctrl,test
TTC27+ctrl,test
PRC1+ctrl,test
MCMBP+ctrl,test
SAMM50+ctrl,test
GET3+ctrl,test
MED18+ctrl,test
HBS1L+ctrl,test
URI1+ctrl,test
RPL38+ctrl,test
SF3B2+ctrl,test
CPNE1+ctrl,test
PAF1+ctrl,test
NCBP2+ctrl,test
EXOC2+ctrl,test
ARPC2+ctrl,test
FTSJ3+ctrl,test
ZBTB14+ctrl,test
GTF2A1+ctrl,test
CDIPT+ctrl,test
CAMLG+ctrl,test
HYOU1+ctrl,test
MBTPS2+ctrl,test
WDTC1+ctrl,test
LMO2+ctrl,test
INTS4+ctrl,test
MCM5+ctrl,test
AHCTF1+ctrl,test
POLR3F+ctrl,test
ARMC7+ctrl,test
CASC3+ctrl,test
CSE1L+ctrl,test
TCOF1+ctrl,test
CHERP+ctrl,test
UBE3C+ctrl,test
KDM6A+ctrl,test
PSTK+ctrl,test
TBCB+ctrl,test
CDC26+ctrl,test
PSMD12+ctrl,test
CDT1+ctrl,test
DERL2+ctrl,test
TUBGCP3+ctrl,test
POP5+ctrl,test
ALG13+ctrl,test
POP4+ctrl,test
WDR5+ctrl,test
LRPPRC+ctrl,test
MAD2L2+ctrl,test
ZNRD1+ctrl,test
TEFM+ctrl,test
SP1+ctrl,test
NKAPD1+ctrl,test
WDR61+ctrl,test
ORC6+ctrl,test
CCDC78+ctrl,test
HARS+ctrl,test
SMARCC1+ctrl,test
SNRNP35+ctrl,test
SARS2+ctrl,test
MYBL2+ctrl,test
TFAM+ctrl,test
ORC3+ctrl,test
CSNK2B+ctrl,test
CDAN1+ctrl,test
TEX10+ctrl,test
SLC39A9+ctrl,test
TUBB+ctrl,test
KARS+ctrl,test
HERC1+ctrl,test
RPS27+ctrl,test
THOC1+ctrl,test
PTPN23+ctrl,test
EIF3D+ctrl,test
ZNHIT3+ctrl,test
ANKRD49+ctrl,test
ELP2+ctrl,test
TUBGCP6+ctrl,test
SURF6+ctrl,test
COMTD1+ctrl,test
WDR4+ctrl,test
PRRC2A+ctrl,test
GSK3B+ctrl,test
RPL15+ctrl,test
PPIH+ctrl,test
RPL21+ctrl,test
COPS3+ctrl,test
CIAO1+ctrl,test
INTS6+ctrl,test
MBD3+ctrl,test
NAA25+ctrl,test
RBM10+ctrl,test
DYNLL2+ctrl,test
USP9X+ctrl,test
NSA2+ctrl,test
TOP1+ctrl,test
CDK12+ctrl,test
C9orf78+ctrl,test
WDR43+ctrl,test
NDC1+ctrl,test
FOLR3+ctrl,test
TAF13+ctrl,test
SDHAF2+ctrl,test
XPO1+ctrl,test
GPS1+ctrl,test
GAR1+ctrl,test
YY1+ctrl,test
GINS4+ctrl,test
DYNLL1+ctrl,test
TBPL1+ctrl,test
RPL32+ctrl,test
PLK1+ctrl,test
GTF3C3+ctrl,test
POP7+ctrl,test
MAU2+ctrl,test
UPF3A+ctrl,test
TTF2+ctrl,test
ATP5PO+ctrl,test
CPSF3+ctrl,test
RINT1+ctrl,test
ESYT2+ctrl,test
GYG1+ctrl,test
DHX9+ctrl,test
FKBP9+ctrl,test
E4F1+ctrl,test
NDUFAB1+ctrl,test
MYBBP1A+ctrl,test
EFR3A+ctrl,test
ZBTB44+ctrl,test
PPP2CA+ctrl,test
NPM1+ctrl,test
PKM+ctrl,test
NRDE2+ctrl,test
CHAF1A+ctrl,test
PSMD8+ctrl,test
VCP+ctrl,test
FAM136A+ctrl,test
C12orf60+ctrl,test
INO80D+ctrl,test
TXNL4B+ctrl,test
METTL21A+ctrl,test
ZFC3H1+ctrl,test
TIMM13+ctrl,test
EEF1G+ctrl,test
CDC45+ctrl,test
CTR9+ctrl,test
NCKAP1+ctrl,test
RRM2+ctrl,test
RPS14+ctrl,test
AGBL5+ctrl,test
RNF40+ctrl,test
CHTF18+ctrl,test
RFC2+ctrl,test
IMPA2+ctrl,test
MCM3+ctrl,test
GPS2+ctrl,test
RRP12+ctrl,test
H2AFZ+ctrl,test
NOP14+ctrl,test
MCM4+ctrl,test
SHOC2+ctrl,test
AURKA+ctrl,test
RPL27A+ctrl,test
BCAS2+ctrl,test
TTC4+ctrl,test
RPL13+ctrl,test
LSM3+ctrl,test
BORA+ctrl,test
COX15+ctrl,test
GRSF1+ctrl,test
SUPT16H+ctrl,test
SETDB1+ctrl,test
PAM16+ctrl,test
HTATSF1+ctrl,test
TRAPPC11+ctrl,test
ZWINT+ctrl,test
VPS25+ctrl,test
CHD4+ctrl,test
SPC24+ctrl,test
SLBP+ctrl,test
MEN1+ctrl,test
NLE1+ctrl,test
UTP20+ctrl,test
UHRF1+ctrl,test
MED29+ctrl,test
CNOT10+ctrl,test
GTF3C2+ctrl,test
PTBP1+ctrl,test
RPL13A+ctrl,test
COPS6+ctrl,test
LTBP4+ctrl,test
FUNDC2+ctrl,test
UBQLN4+ctrl,test
MVD+ctrl,test
RPL10A+ctrl,test
PHB2+ctrl,test
CCT2+ctrl,test
NOLC1+ctrl,test
ZC3H18+ctrl,test
PCBP2+ctrl,test
PGAM5+ctrl,test
UFL1+ctrl,test
GLE1+ctrl,test
NELFA+ctrl,test
SMG5+ctrl,test
PRPF39+ctrl,test
TSEN2+ctrl,test
